"Nom,CA,PV,Degats,Recompense_Pieces,Description"
"Canard WC,12,6,1d6,30,""Il en a marre de bosser dans les wc il vous jette les pod dans la gueule."""
"Berserk,16,30,2d6,500,""L'un des meilleurs guerriers de sa génération."""
"Rhino Laineux,14,20,1d6,80,""L'ancêtre du rhino. (Faible au feu)"""
"Cyclope,12,10,2d3,100,""Un peu difficile pour acheter des lunettes."""
"Gargouille,16,10,2d3,50,""Leur pote Casimodo a disparu, triste et en colère."""
"The grudge,14,5,1d6,50,""Si vous avez le smartphone vous pouvez l'emprisonner dedans."""
"Faux dieu,15,20,1d6,200,""Un imposteur accompagné par des illuminés."""
"le rat et les tortues,16,15,2d3,100,""Vous les avez interrompus pendant leur entraînement de karaté."""
"Kraken,15,35,2d6,200,""Le KRAKEEEEEEEENNNNN (Faible à la foudre)"""
"SDF,10,5,1d100,1,""Ne vous attaque pas si vous avez le chien de sdf."""
"Docteur de la peste,13,6,1d3,10,""Fou à cause des cadavres qu'il a vus."""
"Spooky squelleton,12,8,1d6,20,""Ce sont des squelettes qui dansent."""
"Alien,17,20,2d6,100,""Plus rapide, plus fort en fait meilleur que toi. (Faible au feu)"""
"Marionette maudite,14,10,2d3,20,""Geppetto a perdu le contrôle de son fils."""
"Greta thunberg,15,40,2d6,200,""Insensible aux sorts de plante."""
